Report Month,Data Month,Metric,Category,Currency/Economy,Value,Unit,RMB Rank,Notes,Year,Month,Currency Rank
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,HKD,1.33,%,,Rank 9,2026,February,9.0
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,SEK,0.99,%,,Rank 10,2026,February,10.0
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,SGD,0.76,%,,Rank 11,2026,February,11.0
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,NOK,0.7,%,,Rank 12,2026,February,12.0
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,PLN,0.7,%,,Rank 13,2026,February,13.0
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,DKK,0.6,%,,Rank 14,2026,February,14.0
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,MXN,0.55,%,,Rank 15,2026,February,15.0
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,NZD,0.43,%,,Rank 16,2026,February,16.0
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,CZK,0.37,%,,Rank 17,2026,February,17.0
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,TRY,0.37,%,,Rank 18,2026,February,18.0
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,ZAR,0.32,%,,Rank 19,2026,February,19.0
March 2026,February 2026,International Payment Share (ex-Eurozone),Currency Ranking,HUF,0.31,%,,Rank 20,2026,February,20.0
March 2026,February 2026,RMB MoM Payment Growth,RMB Activity,CNY,,,6.0,No MoM growth figure provided in report,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,Hong Kong,75.57,%,,Clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,United Kingdom,6.8,%,,Clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,Singapore,4.32,%,,Clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,United States,2.78,%,,Clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,France,1.81,%,,Clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,Taiwan,1.28,%,,Clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,South Korea,1.09,%,,Clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,Macao,1.01,%,,Clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,Japan,0.81,%,,Clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,Germany,0.69,%,,Clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,Australia,0.69,%,,Clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,Belgium,0.49,%,,Non-clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,Luxembourg,0.4,%,,Non-clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,Netherlands,0.34,%,,Non-clearing centre,2026,February,
March 2026,February 2026,Offshore RMB by Economy,Offshore Economies,Canada,0.22,%,,Clearing centre,2026,February,
March 2026,February 2026,Trade Finance Share,Currency Ranking,USD,81.96,%,,Rank 1,2026,February,1.0
March 2026,February 2026,Trade Finance Share,Currency Ranking,EUR,6.02,%,,Rank 2 - NOTE: CNY dropped to 3rd this month,2026,February,2.0
March 2026,February 2026,Trade Finance Share,Currency Ranking,CNY,5.9,%,,Rank 3 - Notable: dropped from 2nd to 3rd,2026,February,3.0
March 2026,February 2026,Trade Finance Share,Currency Ranking,JPY,1.56,%,,Rank 4,2026,February,4.0
March 2026,February 2026,Trade Finance Share,Currency Ranking,SAR,0.8,%,,Rank 5,2026,February,5.0
March 2026,February 2026,Trade Finance Share,Currency Ranking,AED,0.78,%,,Rank 6,2026,February,6.0
March 2026,February 2026,Trade Finance Share,Currency Ranking,THB,0.74,%,,Rank 7,2026,February,7.0
March 2026,February 2026,Trade Finance Share,Currency Ranking,IDR,0.53,%,,Rank 8,2026,February,8.0
March 2026,February 2026,Trade Finance Share,Currency Ranking,VND,0.35,%,,Rank 9,2026,February,9.0
March 2026,February 2026,Trade Finance Share,Currency Ranking,INR,0.21,%,,Rank 10,2026,February,10.0
March 2026,February 2026,FX Spot Currency Ranking,FX Spot,USD,,,6.0,Rank 1,2026,February,1.0
March 2026,February 2026,FX Spot Currency Ranking,FX Spot,EUR,,,6.0,Rank 2,2026,February,2.0
March 2026,February 2026,FX Spot Currency Ranking,FX Spot,GBP,,,6.0,Rank 3,2026,February,3.0
March 2026,February 2026,FX Spot Currency Ranking,FX Spot,JPY,,,6.0,Rank 4,2026,February,4.0
March 2026,February 2026,FX Spot Currency Ranking,FX Spot,CAD,,,6.0,Rank 5,2026,February,5.0
March 2026,February 2026,FX Spot Currency Ranking,FX Spot,CNY,,,6.0,Rank 6,2026,February,6.0
March 2026,February 2026,FX Spot Currency Ranking,FX Spot,AUD,,,6.0,Rank 7,2026,February,7.0
March 2026,February 2026,FX Spot Currency Ranking,FX Spot,CHF,,,6.0,Rank 8,2026,February,8.0
March 2026,February 2026,FX Spot Currency Ranking,FX Spot,KRW,,,6.0,Rank 9,2026,February,9.0
March 2026,February 2026,FX Spot Currency Ranking,FX Spot,HKD,,,6.0,Rank 10,2026,February,10.0
March 2026,February 2026,FX Spot Economies (RMB),Offshore Economies,United Kingdom,37.89,%,,No notes,2026,February,
March 2026,February 2026,FX Spot Economies (RMB),Offshore Economies,United States,15.69,%,,No notes,2026,February,
March 2026,February 2026,FX Spot Economies (RMB),Offshore Economies,Hong Kong,10.43,%,,No notes,2026,February,
March 2026,February 2026,FX Spot Economies (RMB),Offshore Economies,France,9.49,%,,No notes,2026,February,
March 2026,February 2026,FX Spot Economies (RMB),Offshore Economies,China,6.69,%,,No notes,2026,February,
March 2026,February 2026,FX Spot Economies (RMB),Offshore Economies,Others,19.82,%,,No notes,2026,February,
